Speed_kmh,RPM,Throttle,Brake,Steering,Gear,Timestamp,CompletedLaps,DistanceTraveled_m,CurrentSectorIndex,IsInPit
-0.5658332150327707,-0.9033619337470971,0.4898248013351449,-0.30752190991321987,0.15962833693634024,-0.06641738886638428,1765206886,6,41185.715,1,False
-0.5298152581042577,-0.7259658900969813,0.4898248013351449,-0.30752190991321987,0.1327774910333954,-0.06641738886638428,1765206886,6,41191.805,1,False
-0.49122458996656504,-0.6860517802757052,0.4898248013351449,-0.30752190991321987,0.08981613758868365,-0.06641738886638428,1765206886,6,41197.766,1,False
-0.45236311012264285,-0.6017886595419003,0.4898248013351449,-0.30752190991321987,0.041484614963382925,-0.06641738886638428,1765206886,6,41203.457,1,False
-0.41323081857249155,-0.5611353995387488,0.4898248013351449,-0.30752190991321987,0.09518630676927262,-0.06641738886638428,1765206886,6,41209.621,1,False
-0.3778898909095518,-0.446567121348049,0.4898248013351449,-0.30752190991321987,0.030744276602204974,-0.06641738886638428,1765206886,6,41215.898,1,False
-0.3410594988623503,-0.33717289443047765,0.4898248013351449,-0.30752190991321987,-0.01221707684250679,-0.06641738886638428,1765206886,6,41221.832,1,False
-0.30341667169646064,-0.24477912169604235,0.4898248013351449,-0.30752190991321987,-0.0820292761901634,-0.06641738886638428,1765206886,6,41228.301,1,False
-0.26618006208991507,-0.2063433122385173,0.4898248013351449,-0.30752190991321987,-0.12499062963487517,-0.06641738886638428,1765206886,6,41234.832,1,False
-0.22948507589582823,-0.1102537885947046,0.4898248013351449,-0.30752190991321987,-0.14110113717664208,-0.06641738886638428,1765206886,6,41240.926,1,False
-0.19306090140797097,0.001357888868493229,0.4898248013351449,-0.30752190991321987,-0.16795198307958692,-0.06641738886638428,1765206887,6,41247.59,1,False
-0.15785537959814616,0.08414270923854723,0.4898248013351449,-0.30752190991321987,-0.19480282898253176,-0.06641738886638428,1765206887,6,41253.949,1,False
-0.12264985778832133,0.20388503870237537,0.4898248013351449,-0.30752190991321987,-0.21091333652429867,-0.06641738886638428,1765206887,6,41260.781,1,False
-0.08622568330046407,0.25414725106990815,0.4898248013351449,-0.30752190991321987,-0.20554316734370973,-0.06641738886638428,1765206887,6,41267.602,1,False
-0.05210340831555672,0.32067076743870154,0.4898248013351449,-0.30752190991321987,-0.17869232144076488,-0.06641738886638428,1765206887,6,41274.258,1,False
-0.018522756743108496,0.4529786499944129,0.4898248013351449,-0.30752190991321987,-0.16258181389899795,-0.06641738886638428,1765206887,6,41281.164,1,False
0.015057894829340114,0.555720525275105,0.4898248013351449,-0.30752190991321987,-0.17332215226017592,-0.06641738886638428,1765206887,6,41288.262,1,False
0.049721793226705814,0.54832902345635,0.4898248013351449,-0.30752190991321987,-0.15184147553782001,-0.06641738886638428,1765206887,6,41295.047,1,False
0.08194838626800738,0.6525491991007931,0.4898248013351449,-0.30752190991321987,-0.1303607988154641,-0.06641738886638428,1765206887,6,41302.254,1,False
0.11282092077816115,0.736812319834598,0.4898248013351449,-0.30752190991321987,-0.11425029127369722,-0.06641738886638428,1765206887,6,41309.133,1,False
0.1443704845538894,0.8048141365671424,0.4898248013351449,-0.30752190991321987,-0.09276961455134133,-0.06641738886638428,1765206888,6,41316.613,1,False
0.17537842491715777,0.86246785075343,0.4898248013351449,-0.30752190991321987,-0.09813978373193032,-0.06641738886638428,1765206888,6,41324.066,1,False
0.20340743651190288,0.9467309714872351,0.4898248013351449,-0.30752190991321987,-0.10350995291251927,-0.06641738886638428,1765206888,6,41331.02,1,False
