TireTemp_FL_Avg,TireTemp_FR_Avg,TireTemp_RL_Avg,TireTemp_RR_Avg,TireWear_FL,TireWear_FR,TireWear_RL,TireWear_RR,TirePressure_FL,TirePressure_FR,TirePressure_RL,TirePressure_RR,SlipRatio_FL,SlipRatio_FR,SlipRatio_RL,SlipRatio_RR,SlipAngle_FL,SlipAngle_FR,SlipAngle_RL,SlipAngle_RR,Timestamp,CompletedLaps,DistanceTraveled_m,CurrentSectorIndex,IsInPit
0.19031170629263877,2.2837319066955417,0.06599418806416817,0.8638105551793689,0.0,0.0,0.0,0.0,0.2904864156786845,0.5016614350091203,0.019157081707040224,0.2029686592803905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1765210070,44,261355.969,2,False
0.17221478994768266,2.371741009834811,0.08473983545484223,0.9283829245633829,0.0,0.0,0.0,0.0,0.2743567465094161,0.5216560569971581,0.019157081707040224,0.21990587199613404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1765210070,44,261363.25,2,False
0.15411787360272847,2.4157455614044423,0.09723693371528984,0.9445260169093864,0.0,0.0,0.0,0.0,0.258227077340142,0.5416506789851959,0.019157081707040224,0.21990587199613404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1765210071,44,261370.547,2,False
0.14054518634401283,2.4157455614044423,0.09723693371528984,0.9687406554283985,0.0,0.0,0.0,0.0,0.24209740817086786,0.5416506789851959,0.019157081707040224,0.23684308471187157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1765210071,44,261377.547,2,False
0.12244826999905672,2.3864091936913545,0.09723693371528984,0.9768122016014003,0.0,0.0,0.0,0.0,0.24209740817086786,0.5616453009732266,0.019157081707040224,0.23684308471187157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1765210071,44,261384.984,2,False
0.11339981182657963,2.371741009834811,0.09723693371528984,0.9929552939474072,0.0,0.0,0.0,0.0,0.22596773900159947,0.5816399229612644,0.019157081707040224,0.2537802974276151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1765210071,44,261392.469,2,False
0.09077866639538497,2.327736458265173,0.09723693371528984,1.001026840120402,0.0,0.0,0.0,0.0,0.22596773900159947,0.5816399229612644,0.019157081707040224,0.2537802974276151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1765210071,44,261399.953,2,False
0.07268175005043077,2.3130682744086357,0.09723693371528984,1.0090983862934073,0.0,0.0,0.0,0.0,0.20983806983232536,0.6016345449492951,0.019157081707040224,0.27071751014335865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1765210071,44,261407.109,2,False
0.06815752096419223,2.2837319066955417,0.09723693371528984,1.0252414786394142,0.0,0.0,0.0,0.0,0.20983806983232536,0.6016345449492951,0.019157081707040224,0.27071751014335865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1765210071,44,261414.953,2,False
0.04553637553299757,2.2397273551259107,0.09098838458506604,1.0090983862934073,0.0,0.0,0.0,0.0,0.19370840066305697,0.6216291669373329,0.019157081707040224,0.28765472285909616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1765210071,44,261422.078,2,False
0.03196368827427999,2.195722803556273,0.08473983545484223,1.0090983862934073,0.0,0.0,0.0,0.0,0.19370840066305697,0.6416237889253636,0.019157081707040224,0.28765472285909616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1765210071,44,261429.781,2,False
0.009342542843087259,2.137050068130098,0.08473983545484223,1.0010268401204054,0.0,0.0,0.0,0.0,0.19370840066305697,0.6416237889253636,0.03521649492791572,0.30459193557483966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1765210071,44,261437.328,2,False
-0.013278602588107407,2.093045516560467,0.07224273719439464,0.9929552939474072,0.0,0.0,0.0,0.0,0.19370840066305697,0.6416237889253636,0.03521649492791572,0.30459193557483966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1765210072,44,261445.469,2,False
-0.026851289846824975,2.0490409649908354,0.06599418806417083,0.984883747774402,0.0,0.0,0.0,0.0,0.19370840066305697,0.6616184109134015,0.03521649492791572,0.3215291482905772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1765210072,44,261452.984,2,False
-0.04042397710554062,2.0343727811342855,0.06599418806417083,0.9687406554283985,0.0,0.0,0.0,0.0,0.19370840066305697,0.6616184109134015,0.05127590814878551,0.3215291482905772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1765210072,44,261460.828,2,False
-0.058520893450494806,1.9610318618515603,0.0472485406734941,0.9606691092553967,0.0,0.0,0.0,0.0,0.19370840066305697,0.681613032901432,0.05127590814878551,0.3215291482905772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1765210072,44,261468.375,2,False
-0.07661780979545285,1.9316954941384727,0.0472485406734941,0.9445260169093864,0.0,0.0,0.0,0.0,0.19370840066305697,0.681613032901432,0.05127590814878551,0.3384663610063207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1765210072,44,261476.484,2,False
-0.09471472614040705,1.8876909425688415,0.04099999154327297,0.9364544707363881,0.0,0.0,0.0,0.0,0.19370840066305697,0.7016076548894699,0.05127590814878551,0.3554035737220582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1765210072,44,261484.359,2,False
-0.10376318431288413,1.8583545748557477,0.02850289328282536,0.9283829245633829,0.0,0.0,0.0,0.0,0.19370840066305697,0.7016076548894699,0.067335321369661,0.3554035737220582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1765210072,44,261492.125,2,False
-0.12186010065783832,1.8143500232861163,0.02850289328282536,0.9203113783903811,0.0,0.0,0.0,0.0,0.17757873149378287,0.7216022768775077,0.067335321369661,0.3723407864378018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1765210072,44,261500.234,2,False
-0.14448124608903493,1.7410091040033913,0.016005795022375095,0.9122398322173862,0.0,0.0,0.0,0.0,0.17757873149378287,0.7216022768775077,0.067335321369661,0.3723407864378018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1765210072,44,261508.312,2,False
-0.1625781624339891,1.7116727362903037,0.016005795022375095,0.8960967398713758,0.0,0.0,0.0,0.0,0.17757873149378287,0.7216022768775077,0.08339473459053079,0.3892779991535393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1765210072,44,261516.312,2,False
